"collectionDate","count"
"2019-12-05",1
"2019-12-24",1
"2019-12-26",1
"2019-12-30",20
"2019-12-31",2
"2020-01-01",36
"2020-01-02",2
"2020-01-03",1
"2020-01-04",1
"2020-01-05",3
"2020-01-08",4
"2020-01-09",2
"2020-01-10",30
"2020-01-11",3
"2020-01-12",70
"2020-01-13",7
"2020-01-14",4
"2020-01-15",6
"2020-01-16",5
"2020-01-17",7
"2020-01-18",7
"2020-01-19",24
"2020-01-20",13
"2020-01-21",32
"2020-01-22",52
"2020-01-23",49
"2020-01-24",50
"2020-01-25",67
"2020-01-26",67
"2020-01-27",54
"2020-01-28",39
"2020-01-29",85
"2020-01-30",68
"2020-01-31",57
"2020-02-01",65
"2020-02-02",73
"2020-02-03",71
"2020-02-04",50
"2020-02-05",63
"2020-02-06",64
"2020-02-07",60
"2020-02-08",65
"2020-02-09",81
"2020-02-10",55
"2020-02-11",51
"2020-02-12",40
"2020-02-13",33
"2020-02-14",32
"2020-02-15",79
"2020-02-16",50
"2020-02-17",72
"2020-02-18",43
"2020-02-19",42
"2020-02-20",73
"2020-02-21",69
"2020-02-22",71
"2020-02-23",63
"2020-02-24",93
"2020-02-25",100
"2020-02-26",108
"2020-02-27",141
"2020-02-28",223
"2020-02-29",188
"2020-03-01",268
"2020-03-02",422
"2020-03-03",462
"2020-03-04",531
"2020-03-05",579
"2020-03-06",515
"2020-03-07",486
"2020-03-08",569
"2020-03-09",1139
"2020-03-10",1112
"2020-03-11",1216
"2020-03-12",1428
"2020-03-13",1626
"2020-03-14",1504
"2020-03-15",1756
"2020-03-16",2506
"2020-03-17",2426
"2020-03-18",2531
"2020-03-19",2475
"2020-03-20",2593
"2020-03-21",2063
"2020-03-22",2152
"2020-03-23",3309
"2020-03-24",3293
"2020-03-25",3216
"2020-03-26",3262
"2020-03-27",3307
"2020-03-28",2589
"2020-03-29",2285
"2020-03-30",3583
"2020-03-31",3322
"2020-04-01",3372
"2020-04-02",2856
"2020-04-03",2919
"2020-04-04",2101
"2020-04-05",1804
"2020-04-06",3013
"2020-04-07",2647
"2020-04-08",2680
"2020-04-09",2341
"2020-04-10",2306
"2020-04-11",1896
"2020-04-12",1476
"2020-04-13",2497
"2020-04-14",2343
"2020-04-15",2207
"2020-04-16",2074
"2020-04-17",2067
"2020-04-18",1444
"2020-04-19",1112
"2020-04-20",2269
"2020-04-21",1903
"2020-04-22",1845
"2020-04-23",1710
"2020-04-24",1657
"2020-04-25",1099
"2020-04-26",992
"2020-04-27",1878
"2020-04-28",1558
"2020-04-29",1669
"2020-04-30",1674
"2020-05-01",1638
"2020-05-02",1017
"2020-05-03",829
"2020-05-04",1637
"2020-05-05",1451
"2020-05-06",1246
"2020-05-07",1345
"2020-05-08",1223
"2020-05-09",934
"2020-05-10",716
"2020-05-11",1362
"2020-05-12",1195
"2020-05-13",1207
"2020-05-14",1394
"2020-05-15",1346
"2020-05-16",707
"2020-05-17",666
"2020-05-18",1438
"2020-05-19",1325
"2020-05-20",1061
"2020-05-21",1056
"2020-05-22",1105
"2020-05-23",598
"2020-05-24",554
"2020-05-25",871
"2020-05-26",1010
"2020-05-27",1037
"2020-05-28",801
"2020-05-29",776
"2020-05-30",544
"2020-05-31",443
"2020-06-01",1065
"2020-06-02",1024
"2020-06-03",924
"2020-06-04",917
"2020-06-05",919
"2020-06-06",553
"2020-06-07",602
"2020-06-08",1205
"2020-06-09",1122
"2020-06-10",1106
"2020-06-11",1366
"2020-06-12",1237
"2020-06-13",996
"2020-06-14",837
"2020-06-15",1594
"2020-06-16",2074
"2020-06-17",1426
"2020-06-18",1541
"2020-06-19",1662
"2020-06-20",1056
"2020-06-21",979
"2020-06-22",1362
"2020-06-23",1530
"2020-06-24",1609
"2020-06-25",1416
"2020-06-26",1321
"2020-06-27",795
"2020-06-28",700
"2020-06-29",1562
"2020-06-30",1480
"2020-07-01",1632
"2020-07-02",1713
"2020-07-03",1359
"2020-07-04",937
"2020-07-05",723
"2020-07-06",1579
"2020-07-07",1720
"2020-07-08",1824
"2020-07-09",1758
"2020-07-10",1625
"2020-07-11",918
"2020-07-12",827
"2020-07-13",1934
"2020-07-14",1881
"2020-07-15",1955
"2020-07-16",1623
"2020-07-17",1806
"2020-07-18",1285
"2020-07-19",991
"2020-07-20",1957
"2020-07-21",2012
"2020-07-22",1772
"2020-07-23",1764
"2020-07-24",1610
"2020-07-25",1162
"2020-07-26",772
"2020-07-27",2255
"2020-07-28",1741
"2020-07-29",1787
"2020-07-30",1738
"2020-07-31",1581
"2020-08-01",1329
"2020-08-02",1047
"2020-08-03",1924
"2020-08-04",1801
"2020-08-05",1662
"2020-08-06",1746
"2020-08-07",1529
"2020-08-08",943
"2020-08-09",1044
"2020-08-10",2170
"2020-08-11",1859
"2020-08-12",1687
"2020-08-13",1700
"2020-08-14",1509
"2020-08-15",1012
"2020-08-16",796
"2020-08-17",2174
"2020-08-18",1665
"2020-08-19",1556
"2020-08-20",1744
"2020-08-21",1521
"2020-08-22",924
"2020-08-23",755
"2020-08-24",1912
"2020-08-25",1629
"2020-08-26",2051
"2020-08-27",1754
"2020-08-28",1634
"2020-08-29",1054
"2020-08-30",1064
"2020-08-31",2583
"2020-09-01",1963
"2020-09-02",1666
"2020-09-03",1712
"2020-09-04",1590
"2020-09-05",867
"2020-09-06",584
"2020-09-07",1697
"2020-09-08",1693
"2020-09-09",2435
"2020-09-10",2541
"2020-09-11",1664
"2020-09-12",775
"2020-09-13",646
"2020-09-14",2431
"2020-09-15",1658
"2020-09-16",2645
"2020-09-17",1646
"2020-09-18",1861
"2020-09-19",1177
"2020-09-20",1044
"2020-09-21",3164
"2020-09-22",1749
"2020-09-23",2135
"2020-09-24",3349
"2020-09-25",1938
"2020-09-26",1111
"2020-09-27",1332
"2020-09-28",2116
"2020-09-29",2145
"2020-09-30",2043
"2020-10-01",2962
"2020-10-02",2224
"2020-10-03",1681
"2020-10-04",1074
"2020-10-05",3718
"2020-10-06",3181
"2020-10-07",3151
"2020-10-08",3011
"2020-10-09",2668
"2020-10-10",1499
"2020-10-11",1429
"2020-10-12",4054
"2020-10-13",2650
"2020-10-14",3070
"2020-10-15",3783
"2020-10-16",2903
"2020-10-17",2012
"2020-10-18",1319
"2020-10-19",3855
"2020-10-20",3659
"2020-10-21",4280
"2020-10-22",4311
"2020-10-23",3025
"2020-10-24",2170
"2020-10-25",1265
"2020-10-26",6030
"2020-10-27",3231
"2020-10-28",2480
"2020-10-29",3541
"2020-10-30",3322
"2020-10-31",1801
"2020-11-01",3265
"2020-11-02",6863
"2020-11-03",4059
"2020-11-04",5218
"2020-11-05",4857
"2020-11-06",3988
"2020-11-07",2758
"2020-11-08",3402
"2020-11-09",6093
"2020-11-10",3989
"2020-11-11",4488
"2020-11-12",4742
"2020-11-13",4497
"2020-11-14",3738
"2020-11-15",2422
"2020-11-16",5465
"2020-11-17",4060
"2020-11-18",4592
"2020-11-19",2787
"2020-11-20",3269
"2020-11-21",2063
"2020-11-22",2423
"2020-11-23",6049
"2020-11-24",4220
"2020-11-25",3173
"2020-11-26",2171
"2020-11-27",2844
"2020-11-28",1809
"2020-11-29",1611
"2020-11-30",7536
"2020-12-01",4563
"2020-12-02",4172
"2020-12-03",3744
"2020-12-04",3250
"2020-12-05",1869
"2020-12-06",1899
"2020-12-07",8845
"2020-12-08",3969
"2020-12-09",4769
"2020-12-10",6842
"2020-12-11",6325
"2020-12-12",4108
"2020-12-13",3138
"2020-12-14",12138
"2020-12-15",6705
"2020-12-16",5985
"2020-12-17",5485
"2020-12-18",5383
"2020-12-19",3760
"2020-12-20",3296
"2020-12-21",9561
"2020-12-22",5064
"2020-12-23",4522
"2020-12-24",4001
"2020-12-25",2014
"2020-12-26",4967
"2020-12-27",4588
"2020-12-28",10916
"2020-12-29",7541
"2020-12-30",5841
"2020-12-31",4886
"2021-01-01",3130
"2021-01-02",5659
"2021-01-03",5529
"2021-01-04",15238
"2021-01-05",9820
"2021-01-06",7052
"2021-01-07",7430
